title,genres,year,Comedy,Drama,Romance,Game-Show,War,Adult,Film-Noir,Family,Talk-Show,Thriller,Musical,Short,Sci-Fi,Fantasy,Documentary,Animation,Mystery,Reality-TV,History,Sport,Crime,News,Biography,Western,Adventure,Horror,Action,Music,century
Edison Kinetoscopic Record of a Sneeze,Documentary|Short,1894,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1800
La sortie des usines Lumière,Documentary|Short,1895,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1800
The Arrival of a Train,Documentary|Short,1896,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1800
Le manoir du diable,Short|Horror,1896,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1800
Une nuit terrible,Short|Comedy|Horror,1896,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1800
A Trip to the Moon,Short|Action|Adventure|Comedy|Fantasy|Sci-Fi,1902,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1900
The Great Train Robbery,Short|Action|Crime|Western,1903,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1900
The Adventures of Dollie,Action|Short,1908,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1900
The Country Doctor,Short|Drama,1909,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900
Frankenstein,Short|Horror|Sci-Fi,1910,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1900
The Lonedale Operator,Short|Drama|Romance,1911,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900
